#entrez	phenotype	sources
E124995	hdf	konig08:hdf
E125965	hdf	konig08:hdf
E126231	hdf	yeung09:hdf
E126382	hrf	liu:hrf
E126626	hdf	zhou08:hdf
E126638	hdf	brass08:hdf
E126669	hrf	liu:hrf
E127406	hdf	yeung09:hdf
E127544	hdf	yeung09:hdf
E128272	hdf	brass08:hdf
E1285	hrf	liu:hrf
E128611	hdf	brass08:hdf
E1289	hdf	konig08:hdf
E132321	hdf	brass08:hdf
E134548	hdf	brass08:hdf
E135250	hrf	liu:hrf
E1365	hdf	yeung09:hdf
E1374	hdf	yeung09:hdf
E138724	hdf	brass08:hdf
E140730	hdf	brass08:hdf
E140902	hrf	liu:hrf
E1410	hdf	konig08:hdf
E143684	hdf	brass08:hdf
E1447	hdf	yeung09:hdf
E145200	hdf	konig08:hdf
E145389	hdf	zhou08:hdf
E146540	hdf	brass08:hdf
E146542	hdf	zhou08:hdf
E147657	hdf	konig08:hdf
E147699	hdf	zhou08:hdf
E147719	hdf	brass08:hdf
E148418	hrf	liu:hrf
E148811	hdf	brass08:hdf
E149018	hrf	liu:hrf
E149986	hdf	zhou08:hdf
E150094	hdf	zhou08:hdf
E150159	hdf	yeung09:hdf
E150356	hdf	konig08:hdf
E1522	hdf	zhou08:hdf
E152926	hdf	konig08:hdf
E1536	hdf	konig08:hdf
E154796	hdf	yeung09:hdf
E154865	hdf	brass08:hdf
E155400	hrf	liu:hrf
E156	hdf	zhou08:hdf|konig08:hdf
E1576	hdf	zhou08:hdf
E158046	hdf	konig08:hdf
E1603	hdf	yeung09:hdf
E160428	hrf	liu:hrf
E1605	hrf	liu:hrf
E162515	hrf	liu:hrf
E163049	hdf	brass08:hdf
E163882	hdf	konig08:hdf
E164127	hrf	liu:hrf
E164668	hrf	liu:hrf
E164714	hdf	konig08:hdf
E1650	hdf	brass08:hdf
E1654	hdf	brass08:hdf|zhou08:hdf
E1657	hdf	brass08:hdf|konig08:hdf
E166	hdf	konig08:hdf
E1662	hdf	brass08:hdf
E1665	hdf	konig08:hdf
E167227	hdf	konig08:hdf
E1678	hdf	brass08:hdf
E168400	hdf	brass08:hdf
E172	hdf	zhou08:hdf
E1736	hdf	yeung09:hdf
E1743	hdf	zhou08:hdf
E1762	hdf	yeung09:hdf
E1785	both	liu:hrf|konig08:hdf
E1803	hdf	zhou08:hdf
E182	hdf	yeung09:hdf
E1832	hrf	liu:hrf
E1837	hdf	yeung09:hdf
E1855	hdf	zhou08:hdf
E1869	hrf	liu:hrf
E1890	hdf	yeung09:hdf
E1909	hdf	brass08:hdf
E192669	hdf	brass08:hdf
E1950	hdf	brass08:hdf
E1956	hdf	brass08:hdf
E196483	hrf	liu:hrf
E199857	hdf	zhou08:hdf
E1999	hrf	liu:hrf
E200186	hdf	brass08:hdf
E2006	hdf	yeung09:hdf
E201254	hrf	liu:hrf
E2033	hdf	konig08:hdf
E2034	hdf	yeung09:hdf|konig08:hdf
E203429	hdf	brass08:hdf
E2035	hdf	yeung09:hdf
E205564	hdf	zhou08:hdf
E2059	hdf	brass08:hdf
E2067	hdf	konig08:hdf
E207	hdf	brass08:hdf|zhou08:hdf
E2071	hdf	brass08:hdf
E2073	hdf	konig08:hdf
E2079	hdf	yeung09:hdf
E2101	hrf	liu:hrf
E2107	hdf	brass08:hdf
E211	hdf	yeung09:hdf
E2114	hdf	konig08:hdf
E2117	hdf	zhou08:hdf
E2122	hdf	zhou08:hdf
E2124	hrf	liu:hrf
E214	hrf	liu:hrf
E2147	both	zhou08:both
E2168	hdf	konig08:hdf
E219541	hdf	zhou08:hdf|konig08:hdf
E219995	hdf	zhou08:hdf
E220081	hdf	zhou08:hdf
